filename,width,height,class,xmin,ymin,xmax,ymax
CHESS_OFFICE_B_S_frame_1277_jpg.rf.af3e7391dd46750935325e9cba0634ad.jpg,1280,720,hand,626,221,790,344
000000007781.jpg,640,480,banana,475.02,259.22,625.68,360.72
PUZZLE_OFFICE_T_S_frame_1765_jpg.rf.5e3fdbbbf0367fbb44540efed44c838e.jpg,1280,720,hand,518,313,828,663
CARDS_OFFICE_S_B_frame_0016_jpg.rf.fc5ae04321ad6ed113a31e94e2627b07.jpg,1280,720,hand,597,131,762,219
JENGA_OFFICE_H_T_frame_0037_jpg.rf.22280834d9cf9f7e9459187989a837b5.jpg,1280,720,hand,722,307,837,412
JENGA_OFFICE_B_S_frame_1057_jpg.rf.5a9a68c68b3fb1e9b817d478233a9601.jpg,1280,720,hand,601,633,925,718
CARDS_COURTYARD_T_B_frame_1642_jpg.rf.81dbeb295a153afbe9f279b4f0ac435e.jpg,1280,720,hand,585,413,899,718
JENGA_LIVINGROOM_T_S_frame_2122_jpg.rf.2d1a525a6fb198cfa989ee79c5146cc1.jpg,1280,720,hand,2,412,371,715
PUZZLE_OFFICE_H_B_frame_2016_jpg.rf.f03f659f73a93c781022646a7715ba63.jpg,1280,720,hand,642,630,902,719
000000007398.jpg,640,360,orange,0,44.97,189.62,296.54
000000000984.jpg,480,640,orange,202.93,571.54,278.62,639.15
CHESS_COURTYARD_T_B_frame_1175_jpg.rf.593630ac45b8fa74723188b7b403afd9.jpg,1280,720,hand,332,196,507,325
JENGA_OFFICE_T_H_frame_1886_jpg.rf.1fb5ac514eeb035bfd09a1c386ad8a8f.jpg,1280,720,hand,619,632,788,718
CARDS_COURTYARD_S_H_frame_2296_jpg.rf.2884c81a7da742e65a67f4779d98281a.jpg,1280,720,hand,357,144,497,377
PUZZLE_LIVINGROOM_H_S_frame_0145_jpg.rf.57830d296dbbc9c6c8f041327a04aa46.jpg,1280,720,hand,404,125,643,286
000000009148.jpg,640,480,banana,301.22,262.83,337.77,273.67
CHESS_OFFICE_S_B_frame_1627_jpg.rf.129c84573814c61ea6d869299609f2ad.jpg,1280,720,hand,648,163,855,302
CHESS_COURTYARD_H_S_frame_0599_jpg.rf.eee010068596e329f10e8bb98c70f700.jpg,1280,720,hand,732,695,854,717
CARDS_COURTYARD_B_T_frame_2619_jpg.rf.20b79f5ab95401f2bca02beeb353e370.jpg,1280,720,hand,435,237,592,359
JENGA_LIVINGROOM_B_H_frame_0701_jpg.rf.89da350e442c828dc42ae999f18b1e9e.jpg,1280,720,hand,698,350,873,473
JENGA_COURTYARD_H_B_frame_0674_jpg.rf.610ab71e594c4102c5f37fc380dc0410.jpg,1280,720,hand,830,424,1039,716
000000000670.jpg,640,427,apple,187.25,241.33,246.18,309.77
PUZZLE_OFFICE_S_T_frame_2116_jpg.rf.c4354e09fb8ae11818520d55c25fa25f.jpg,1280,720,hand,692,243,955,593
PUZZLE_OFFICE_B_H_frame_1453_jpg.rf.f0c9a03c3feef0761112ee664fbbb858.jpg,1280,720,hand,97,164,354,331
PUZZLE_OFFICE_T_S_frame_0241_jpg.rf.b61293c00d6c97012ffa15e0655059b3.jpg,1280,720,hand,535,428,813,716
CHESS_LIVINGROOM_T_H_frame_1234_jpg.rf.60e9b5742c07ec1785129b7355e78d14.jpg,1280,720,hand,1,137,113,368
CHESS_LIVINGROOM_B_S_frame_2520_jpg.rf.ad5b4d26b6940b3d2dd04f2056a65229.jpg,1280,720,hand,520,428,963,718
JENGA_OFFICE_T_H_frame_2156_jpg.rf.1dfc4ba41c88f20b66cf1ac42c709dad.jpg,1280,720,hand,714,679,811,719
JENGA_OFFICE_S_B_frame_2698_jpg.rf.b3ba34961607f29e753a5c5bda2fc94a.jpg,1280,720,hand,670,327,756,454
JENGA_LIVINGROOM_B_H_frame_2666_jpg.rf.81b9fe3088c522d7eb870a2868f99e5b.jpg,1280,720,hand,830,711,922,718
JENGA_LIVINGROOM_T_S_frame_2584_jpg.rf.55de1a8d09b3b779ee1c27373aaf3e1b.jpg,1280,720,hand,341,613,364,716
CHESS_COURTYARD_S_H_frame_0284_jpg.rf.d2b62a5dc95a79219fc279eced7da725.jpg,1280,720,hand,498,150,649,284
CHESS_LIVINGROOM_S_B_frame_0239_jpg.rf.6636513c4ecad33e63d9674eeed12e39.jpg,1280,720,hand,315,270,597,623
