filename,height,width,class,xmin,ymin,xmax,ymax
CHESS_COURTYARD_H_S_frame_0671_jpg.rf.2d2a5270f2b73c1fb1e50c1ebd476592.jpg,720,1280,2,703,304,984,507
JENGA_COURTYARD_T_S_frame_2470_jpg.rf.2d1add1781b7a2597dc78ab301bdb769.jpg,720,1280,1,6,671,150,717
JENGA_OFFICE_B_S_frame_1266_jpg.rf.2d8d4c9c617b6002ca09827e89073252.jpg,720,1280,1,221,596,522,717
JENGA_OFFICE_B_S_frame_1266_jpg.rf.2d8d4c9c617b6002ca09827e89073252.jpg,720,1280,2,501,615,749,716
JENGA_COURTYARD_S_T_frame_2447_jpg.rf.2d98345bb48083a871fee087dc5c71d2.jpg,720,1280,2,641,693,779,718
JENGA_LIVINGROOM_S_T_frame_1639_jpg.rf.2da54f092eb4f2b3afa672787a1bc5b7.jpg,720,1280,1,183,648,429,718
JENGA_LIVINGROOM_S_T_frame_1639_jpg.rf.2da54f092eb4f2b3afa672787a1bc5b7.jpg,720,1280,2,709,686,861,718
CARDS_OFFICE_B_S_frame_1941_jpg.rf.2dabe2fbcb8b0d798fcbdf06b73b0571.jpg,720,1280,2,825,551,996,713
JENGA_COURTYARD_H_B_frame_1832_jpg.rf.2dad90344ff2f1e1e5986b59a449a8b2.jpg,720,1280,1,145,563,429,718
JENGA_COURTYARD_H_B_frame_1832_jpg.rf.2dad90344ff2f1e1e5986b59a449a8b2.jpg,720,1280,2,588,559,794,718
CHESS_OFFICE_H_T_frame_2572_jpg.rf.2dbd919d783f3a26738ab25a60013b99.jpg,720,1280,2,468,424,818,707
CARDS_LIVINGROOM_H_S_frame_1320_jpg.rf.2dbe181f75f8f8e7488499e1d0f0370d.jpg,720,1280,2,798,503,1043,716
CHESS_LIVINGROOM_H_T_frame_1053_jpg.rf.2dc1796ebf66540462fad6f64e60d2fe.jpg,720,1280,1,1,563,272,718
CHESS_LIVINGROOM_H_T_frame_1053_jpg.rf.2dc1796ebf66540462fad6f64e60d2fe.jpg,720,1280,2,406,540,1107,718
PUZZLE_OFFICE_B_H_frame_1452_jpg.rf.2df8295e1a0fca10abc0cd51a031f090.jpg,720,1280,1,119,553,468,719
PUZZLE_OFFICE_B_H_frame_1452_jpg.rf.2df8295e1a0fca10abc0cd51a031f090.jpg,720,1280,2,500,476,994,716
CHESS_OFFICE_B_S_frame_2584_jpg.rf.2e0a5330beda6293b87f907e6e50c008.jpg,720,1280,2,700,507,1089,701
JENGA_OFFICE_H_T_frame_0356_jpg.rf.2e144485670bd0c1229c0250371fe22e.jpg,720,1280,2,712,698,824,717
CARDS_LIVINGROOM_T_B_frame_1347_jpg.rf.2e2541678869f2b8e461b2b9fca9bca8.jpg,720,1280,1,2,529,202,719
CARDS_LIVINGROOM_T_B_frame_1347_jpg.rf.2e2541678869f2b8e461b2b9fca9bca8.jpg,720,1280,2,421,194,946,581
CHESS_LIVINGROOM_B_S_frame_2530_jpg.rf.2e928eb1dc83de982a833c5f1d329007.jpg,720,1280,2,755,407,1066,667
CHESS_OFFICE_H_T_frame_0492_jpg.rf.2eb19f90742c1e622138c6bb1c9e6eb9.jpg,720,1280,2,625,466,962,716
JENGA_LIVINGROOM_T_S_frame_0521_jpg.rf.2ea39182f541fdb8adce24427a9ecf85.jpg,720,1280,2,569,512,959,715
JENGA_LIVINGROOM_S_T_frame_0838_jpg.rf.2e9f91d5c47cf83be1f0d0160825244c.jpg,720,1280,2,647,599,895,718
JENGA_LIVINGROOM_S_T_frame_0838_jpg.rf.2e9f91d5c47cf83be1f0d0160825244c.jpg,720,1280,1,124,642,374,718
CARDS_OFFICE_H_T_frame_1847_jpg.rf.2ebb2950f7becaaf941579f5fe9a7719.jpg,720,1280,1,285,684,323,718
CARDS_OFFICE_H_T_frame_1847_jpg.rf.2ebb2950f7becaaf941579f5fe9a7719.jpg,720,1280,2,690,506,1188,716
CARDS_LIVINGROOM_H_S_frame_0614_jpg.rf.2ed8ca7ba5610465062e5d2ade2ddddb.jpg,720,1280,2,488,581,734,719
CHESS_COURTYARD_B_T_frame_1741_jpg.rf.2ee02b996106a1796732b5f5d1aedefd.jpg,720,1280,2,716,441,947,622
PUZZLE_COURTYARD_H_T_frame_0084_jpg.rf.2ed95c32d9092e84b47d39d9155e3565.jpg,720,1280,1,10,643,184,714
PUZZLE_COURTYARD_H_T_frame_0084_jpg.rf.2ed95c32d9092e84b47d39d9155e3565.jpg,720,1280,2,492,629,715,714
CARDS_COURTYARD_H_S_frame_1647_jpg.rf.2eebcf0c561a2c5b15b4b9b7205f4f49.jpg,720,1280,1,59,496,429,719
CARDS_COURTYARD_H_S_frame_1647_jpg.rf.2eebcf0c561a2c5b15b4b9b7205f4f49.jpg,720,1280,2,623,361,813,587
PUZZLE_LIVINGROOM_T_B_frame_0632_jpg.rf.2f1c4ca0cd54b36d5225e79f8d86fa53.jpg,720,1280,1,3,536,329,718
PUZZLE_LIVINGROOM_T_B_frame_0632_jpg.rf.2f1c4ca0cd54b36d5225e79f8d86fa53.jpg,720,1280,2,497,586,990,714
CARDS_OFFICE_B_S_frame_1359_jpg.rf.2f2f3fbd337f922445226543c54fd400.jpg,720,1280,1,497,673,547,718
CARDS_OFFICE_B_S_frame_1359_jpg.rf.2f2f3fbd337f922445226543c54fd400.jpg,720,1280,2,605,518,870,717
CARDS_COURTYARD_T_B_frame_2589_jpg.rf.2f2d2b9f2f69961dee665d8f661d3fbe.jpg,720,1280,1,217,648,319,718
CARDS_COURTYARD_T_B_frame_2589_jpg.rf.2f2d2b9f2f69961dee665d8f661d3fbe.jpg,720,1280,2,680,478,910,710
JENGA_COURTYARD_S_T_frame_1194_jpg.rf.2f8731a04e3e200dbf77b8d4e4e221a7.jpg,720,1280,2,566,583,805,719
JENGA_COURTYARD_S_T_frame_1194_jpg.rf.2f8731a04e3e200dbf77b8d4e4e221a7.jpg,720,1280,1,292,671,458,719
JENGA_COURTYARD_S_T_frame_0558_jpg.rf.2f8b9ba1ced5574d9aa40b5f35f1e734.jpg,720,1280,1,2,251,581,718
JENGA_COURTYARD_S_T_frame_0558_jpg.rf.2f8b9ba1ced5574d9aa40b5f35f1e734.jpg,720,1280,2,473,378,1052,713
CHESS_LIVINGROOM_H_T_frame_0291_jpg.rf.2f9115448dff0275ef22d98ade47d06a.jpg,720,1280,1,1,538,215,718
CHESS_LIVINGROOM_H_T_frame_0291_jpg.rf.2f9115448dff0275ef22d98ade47d06a.jpg,720,1280,2,904,521,1277,718
PUZZLE_COURTYARD_B_S_frame_1938_jpg.rf.2f9f76b9ea213101187afa0d3ede88ea.jpg,720,1280,1,88,598,319,719
PUZZLE_COURTYARD_B_S_frame_1938_jpg.rf.2f9f76b9ea213101187afa0d3ede88ea.jpg,720,1280,2,858,644,1019,719
PUZZLE_COURTYARD_T_H_frame_1174_jpg.rf.2f9fc7acce0945e36a1497da3e832311.jpg,720,1280,1,1,413,372,716
PUZZLE_COURTYARD_T_H_frame_1174_jpg.rf.2f9fc7acce0945e36a1497da3e832311.jpg,720,1280,2,639,352,1082,718
